question,ans_id
"Do you offer part time Course degree program stream
 for MSBA MS in Business Analytics Master of Science?",30
"Can I complete MSBA MS in Business Analytics Master of Science Course degree program stream within 1,2 one ,two year?",31
"How many years long is the MSBA MS in Business Analytics Master of Science Course degree program stream
?",32
Does SCU offer any flexibility in MSBA MS in Business Analytics Master of Science Course degree program stream duration?,33
"When are the classes conducted for MSBA MS in Business Analytics Master of Science, do you offer evening class?",34
Do you offer evening classes for working professional for MSBA MS in Business Analytics Master of Science?,35
"When are part time classes conducted in MSBA MS in Business Analytics Master of Science Course degree program stream
?weekend courses offered?",36
"When are the classes scheduled, timing for MSBA MS in Business Analytics Master of Science?",36
"What is the Course degree program stream
 structure curricullum of MSBA MS in Business Analytics Master of Science?",37
Do we have any flexibility in choosing the courses of choice for MSBA MS in Business Analytics Master of Science?,38
"Is MSBA MS in Business Analytics Master of Science Course degree program stream
 STEM approved?",39
What are the documents application submission required for MSBA MS Master of Science in Business Analytics Course degree program stream?,40
What is the admission application fee for MSBA MS Master of Science Business Analytics Course degree program stream?,41
How can I report my GRE GMAT TOEFL WES scores for MSBA MS Master of Science Business Analytics?,42
Is there any admission deposit for MSBA MS Master of Science Business Analytics course after getting the acceptance accept admit admission or after qualifying for the Course degree program stream?,43
Do I have to send my resume along with my application for MSBA MS in Business Analytics Master of Science?,44
What is the application deadline for MSBA MS in Business Analytics Master of Science?,45
When are the admissions offered for MSBA MS in Business Analytics Master of Science?,46
What is the MSBA MS in Business Analytics Master of Science application deadline for international students?,47
What is the MSBA MS in Business Analytics Master of Science application deadline for scholarship?,47
Is there any prerequisites for MSBA MS in Business Analytics Master of Science?,48
Where can we take up the prereqisite courses for MSBA MS in Business Analytics Master of Science?,49
What is the duration of the MSBA MS in Business Analytics course program degree?,50
Do you offer part time courses for MSBA MS Business Analytics program degree course?,51
Can I complete MSBA MS Business Analytics course program degree within 1 2 one two year years?,52
How many years months days long completion is the MSBA MS Business Analytics course program degree flexiblity?,52
When are the classes conducted for MSBA Business Analytics course degree program evening working professional part time weekend morning afternoon timings ?,53
What is the program structure of MSBA MS in Business Analytics program course degree?,54
Do we have any flexibility in choosing the courses for MSBA MS in Business Analytics program course degree?,55
Will I have to send my resume along with my MSBA MS in Business Analytics program course degree application?,56
"Do you offer GRE,GMAT waiver for MSBA MS in Business Analytics program course degree",57
Which one is more prefered GRE or GMAT,58
How much does an MSBA MS in Business Analytics program course degree cost and what type of scholarships and financial aids are available?,59
Curriculum outline for Master's in Business Administration(MBA) Course degree program stream,60
"what is tentative schedule, classes held for Master's in Business Administration(MBA) Course degree program stream",61
Duration for Executive MBA Course degree program stream,62
what are the rankings for Master's in Business Administration(MBA) Course degree program stream,63
What are the deadlines for online Master's in Business Administration MBA Course degree program stream,64
what is the cost of onilne Master's in Business Administration(MBA) Course degree program stream,65
What is the application deadline for the Master's in Business Administration MBA Course degree program stream?,66
Where are the classes held for Master's in Business Administration MBA Course degree program stream,67
What does an Evening Master's in Business Administration MBA Class Profile look and where they mostly work?,68
Can you tell me something about Santa clara university's SCU's undergrad undergraduate program?,69
What is SCU Santa Clara university's ranking for undergraduate business Course degree program stream?,70
Who should apply for scu santa clara univeristy undergraduate business 4 + 1 four plus one Course degree program stream?,71
When should undergrads undergraduates apply for 4 + 1 four plus one Course degree program stream?,71
When is four plus one 4 + 1 4+1 undergrad undergraduate Course degree program stream deadline?,71
What is minimum grade point avergae gpa necessary for four plus one 4 + 1 4+1 undergrad undergraduate Course degree program stream ?,72
What is the procedure for four plus one 4 + 1 4+1 undergrad undergraduate Course degree program stream major selection choosing?,73
Is GRE or GMAT required for four plus one 4 + 1 4+1 undergrad undergraduate Course degree program stream?,74
In four plus one 4 + 1 undergraduate undergrad Course degree program stream will there be any saturday or weekend classes?,75
In four plus one 4 + 1 undergraduate undergrad Course degree program stream how many units are needed to be taken every quarter?,76
In four plus one 4 + 1 program for undergrad undergraduate business Course degree program stream can we take 2-unit 2 unit courses?,77
"In four plus one 4 + 1 program for undergrad undergraduate business program can we take 4-unit 4 unit courses?
",77
for 4 + 1 4 four plus one Course degree program stream when would be the graduate classes for the undergrad undergraduate class?,78
What will be the timings of classes for undergrad undergraduate 4 four plus one 4+1 Course degree program stream?,78
How many streams or Course degree program stream are there for undergrad undergraduate 4 + 1 four plus one program course?,79
What will be included in Marsters in Business Analytics MS BA MSBA masters of science in business analytics core Course degree program stream for undergrad undergraduate 4 + 1 four plus one program?,80
What will be included in Masters in Financial Analytics MSFA core Course degree program stream for undergrad undergraduate 4 + 1 four plus one program?,81
What will be included in MSIS Master of science in information systems system core courses for undergrad undergraduate 4 + 1 four plus one program?,82
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate what are the differences between the three 4+1 Course degree program stream?,83
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate Why should students consider getting Master’s this early as opposed to after relevant experience?,84
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate What do Master’s students do after getting their degree?,85
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate How will tuition work with undergraduate and graduate fees during the senior year?,86
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate What scholarships are offered for undergraduate students applying into 4 + 1 Course degree program stream?,87
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate What is the next step if interested in the 4+1 Course degree program stream?,88
Four plus one 4+1 4 + 1 4 four plus one undergrad undergraduate  Course degree program stream How will the application process work?,89
What are the majors and minors for undergrad undergraduate business school Course degree program stream?,90
Can you tell me something about undergrad undergraduate accounting information systems or accounting program for business school?,91
What is undergrad undergraduate program ranking for accounting accounting ranking by linkedin ranks?,92
What is undergrad undergraduate program ranking for accounting accounting ranking by U.S. news and world report ranks?,93
What is undergrad undergraduate program ranking for accounting accounting ranking by AACSB accredited ranks?,94
What are the undergrad undergraduate accounting majors offered?,95
What are the undergrad undergraduate accounting major scholarships offered?,96
What are the undergrad undergraduate accounting majors internship and externship options?,97
What are the undergrad undergraduate accounting major CAAP program CPA license benefits provision?,98
What are the undergrad requirements for accounting and accounting information systems curriculum?,99
Which courses should be completed by accounting or accounting information system AIS major as core curriculum?,99
What can you tell me about economics major for undergrad undergraduate Course degree program stream?,100
How many degrees does the department of economics offer for undergrads undergraduates Course degree program stream?,101
What concentration can be chosen by undergrads undergraduates for economics major department?,101
Can undergrad students serve as teaching assistants or research assistants to the faculty in economics department?,102
I want to know more about undergard business school department,103
Does leavey school of business offer undergraduate undergrad Course degree program stream in finance?,103
What are the requirement proceedure steps should be followed by undergrads to obtain approval of a petition for an individual studies major?,104
What are the requirements for petition and approval for individual studies major for undergrads undergraduates Course degree program stream?,105
What is the minimum required GPA grade point average for the undergrad undergraduates Course degree program stream to pursue individual studies major?,106
Should the student be enrolled full time to apply for undergrad individual studies?,107
Management courses for undergrads at leavey school of business at scu santa clara university,108
What are the core courses offered for undergrad undergraduates business majors for management program?,109
Can you tell me something about undergrad management major?,110
Can you tell me something about marketing undergrad undergraduate major for business school?,111
What does the marketing major offer to undergraduates undergrad Course degree program stream?,111
Does marketing major for undergrads undergraduate offer or promote internships for the students?,112
What does the undergraduate undergrad program of management information systems or accounting information systems offer to students?,113
How does the undergrad program of MIS management information systems AIS accounting information systems help the students with job?,114
How many units need to be completed to finish or satisfy or fulfil undergrad undergraduate core curriculum?,115
How many upper division courses should be finished to satisfy undergrad undergraduate core curriculum for bachelor of science BS in commerce?,115
Is there any existing student community for undergraduate undergrad program?,116
Which award are available for undergrad courses?,117
Who gets an award for undergrad degrees?,118
Who are leavey scholars in undergrad programs?,119
What is the minimum required GPA grade point average to qualify for beta gamma sigma award?,120
Is there any membership available for the undergrads to beta sigma gamma community for the undergrads?,121
Who are leavey scholars in undergrad programs and what are they offered?,122
What benefits do undergrad undergradutes leavey scholars enjoy?,122
Does the undergrad transcript mention leavey scholar on it if qualified?,122
What is santa clara university's scu's thriving neighbor initiative in which undergrad undergraduates can participate?,123
Are there any programs for undergrads where they can study abroad for experience or internships?,124
Undergraduate community fellowship fellow program information,125
Prospects of fellows program for undergrads in santa clara university scu,125
What is the duration of the Masters in Financial Analytics program degree MSFA course?How many months years long will it take to complete.,126
Do you offer part time courses for Masters in Financial Analytics program degree MSFA course?,127
"Can I complete Masters in Financial Analytics program degree MSFA course within 1 2 one ,two year?",128
"When are the classes conducted for MSFA, do you offer evening class?",129
Do you offer evening classes for working professional?,130
When are part time classes conducted in MSFA?weekend courses offered?,130
What is the program structure curriculum electives of MSFA?,131
Do we have any flexibility in choosing the courses of choice for Masters in Financial Analytics program MSFA?,132
Is MS in Financial Analytics MSFA program STEM approved?,133
What is the minimum application requirement for MSFA?,134
What is the application fee for applying to MSFA?,135
How should I report my GRE/ GMAT/TOEFL Score?,136
Do we have any admission deposit for MSFA?,137
Will I have to send my resume along with my MS BA application?,138
Do I have to apply online for MSFA admissions or can I send my application through mail?,139
What is the scholarship application deadline for intenational students MSFA?,140
When are the admissions offered for MSFA?,141
Is there any prerequisites or prereqs for MSFA?,142
"Do you offer GRE,GMAT waiver",143
How much does an MSFA program cost and what types of scholarships and financial aids are available?,144
what is campus safety,145
What time is campus safety reachable,146
how can I contact campus safety,147
How to report a crime,148
Service offfered by Campus safety,149
Where is Campus Safety located?,150
Does Campus Safety have a Lost & Found?,151
In what health emergency should Campus Safety be notified rather than EMS or 911?,152
In what situations should I use the Emergency Call Boxes?,153
"If Campus Safety is contacted after hours, do they come out and respond to the emergency or contact someone else to respond?",154
working hours of café cafeteria Benson centre,155
How to reserve spaces at café cafeteria Benson centre,156
Whom to contact regarding the café cafeteria Benson centre,157
where is café cafeteria Benson centre located,158
How to advertise at café cafeteria Benson centre located,159
How can I access library catalog online,160
How to access my library account online,160
How to book rooms in Library,161
How can I borrow or renew book,162
What will happen when a book is Overdue or Lost Items,163
What is the library timing,164
Where is the library located,165
How to contact librarian,166
what type kind of MBA masters in business administration programs are offered,167
How is the evening MBA masters in business administration program,168
what is the class profile of evening mba program,169
what is the fees for evening mba program,170
what are the deadlines for applying to evening mba program,171
what are the admission details for evening mba,172
details of evening mba,173
are there any special requirements for evening mba for international students,174
what is the growth after evening mba,175
what is the timing for evening MBA masters in business administration classes held,176
Curriculum outline for evening MBA masters in business administration,177
which courses are offered in evening MBA masters in business administration,178
how is the facutly for evening MBA masters in business administration course,179
who should I contact if I have any question or doubt,180
Details about Online MBA masters in business administration,181
is EMBA executive MBA masters in business administration program course degree good for me For who the program course degree is designed for,182
what does EMBA executive MBA masters in business administration course focuses on,183
what can I get from the program course degree what will I learn from it,184
what are the program course degree details,185
what are the admission requirements for EMBA executive MBA masters in business administration,186
when are the deadlines for applying to EMBA executive MBA masters in business administration,187
what are the fees for EMBA executive MBA masters in business administration,188
what are the profiles of students doing MBA masters in business administration,189
what are the jobs after EMBA executive MBA masters in business administration,190
Curriculum for EMBA masters in business administration EMBA executive MBA masters in business administration,191
which degrees are stem approved,192
when does the quarter begin,193
