answer_id,answers,url
21,"To apply for MSIS program, you have to submit an online application form.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
22,"To apply for MSIS program, you have to submit an online application form along with $100 fee, resume, business essays, academic transcripts, GMAT or GRE and TOEFL scores and 2 recommendation letters.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
23,"Students are admitted to the MSIS program for the FALL, WINTER, and SPRING quarters. The corresponding deadlines are:
April 1- Deadline for applicants (international & domestic) who want to be considered for scholarship.  Applications must be submitted with all required documentation.  Applications submitted but missing required documentation, will not be reviewed in this first round and candidates will not be considered for scholarship.
May 1 - Final Deadline for Fall without scholarship consideration
October 15 - Final Deadline for Winter without scholarship consideration
January 20 - Final Deadline for Spring without scholarship consideration",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
24,"Students are admitted to the MSIS program for the FALL, WINTER, and SPRING quarters.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
25,"The application deadlines are same for all students. The corresponding deadlines are:
April 1- Deadline for applicants (international & domestic) who want to be considered for scholarship.  Applications must be submitted with all required documentation.  Applications submitted but missing required documentation, will not be reviewed in this first round and candidates will not be considered for scholarship.
May 1 - Final Deadline for Fall without scholarship consideration
October 15 - Final Deadline for Winter without scholarship consideration
January 20 - Final Deadline for Spring without scholarship consideration",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
26,"The application deadlines for schollarship is 
April 1- for both international & domestic applicants who want to be considered for scholarship.  Applications must be submitted with all required documentation.  Applications submitted but missing required documentation, will not be reviewed in this first round and candidates will not be considered for scholarship.
",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
27,"You must hold an undergraduate degree from a regionally accredited U.S. institution or an equivalent four-year bachelor's degree as determined by WES.org and with the following prerequisites:
Statistics - Content should include topics in statistics, descriptive statistics, regression, probability, random variables and distributions, the central limit theorem, confidence intervals and hypothesis testing for 1 & 2 populations, goodness of fit, and contingency tables
Programming Language - One course of college-level programming language, e.g. C, C++recommended
Applicants are eligible to apply without the prerequisite(s), but must fulfill the prerequisite(s) by the end of the first quarter of enrollment. Because of the rigors of the programs, it is recommended that applicants take the prerequisite(s) prior to enrolling.
Courses from Coursera, Udacity, edX, or the like, are not accepted. Prerequisites must be taken at an accredited university. Applicants may take the prerequisites through a University of California Extension, though a comparable university or community college is accepted, if accredited.
",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
28,"Prerequisites must be taken at an accredited university. Applicants may take the prerequisites through a University of California Extension, though a comparable university or community college is accepted, if accredited.Courses from Coursera, Udacity, edX, or the like, are not accepted.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
29,The duration for MSBA is five quarters full-time; two years part-time.,https://www.scu.edu/business/ms-business-analytics/
30,"Yes, MSBA is offered as part time and can be completed in two years.",https://www.scu.edu/business/ms-business-analytics/
31,"Yes, the duration for MSBA is five quarters full-time; two years part-time.",https://www.scu.edu/business/ms-business-analytics/
32,The duration for MSBA is five quarters full-time; two years part-time.,https://www.scu.edu/business/ms-business-analytics/
33,"Yes, MSBA program offers students felxibility to complete the program in between five quarters full time to two years part time. Students can select the program duration based on their preferences of full time or part time course",https://www.scu.edu/business/ms-business-analytics/
34,"MSBA classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-business-analytics/
35,"Yes, MSBA classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-business-analytics/
36,"MSBA classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-business-analytics/
37,"To complete the program, you must complete at least 48 units, spread over 36 units of required (core) units as well as a minimum of 12 units of elective credits. ",https://www.scu.edu/business/ms-business-analytics/curriculum/
38,"Yes,SCU gives students the choice to select elective according to their interests, needs and schedule. Custom class schedule helps students to choose classes as per their wish!",https://www.scu.edu/business/ms-business-analytics/curriculum/
39,"Yes! This means you may be eligible to remain in the United States for an additional period on an Optional Practical Training (OPT) STEM extension after you earn the degree. For details, please see the Santa Clara University Global Engagement website about OPT STEM extension regulations. ",https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/international-applicants/
40,"We require your completed online application along with the fee of $100, resume, 3 essays based on given questions, past academic records, past transcripts, GRE/GMAT score along with your WES report(for international students only). Good luck for your admission process! :)",https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/
41,It's $100. Be sure to go through the application checklist before submission. Good luck!,https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/
42,You can send us the entrance exam scores electronically using the following exam specific codes for our univeristy. GMAT School Code BV3-WB51 / GRE School Code 4851 / TOEFL School Code 4851. You can waive off your TOEFL exam if you get more than 50% in verbal section of GRE or GMAT.,https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/
43,"Yes, if you wish to reserve your seat for more than 21 days, there is an option to pay a deposit of $750.",https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/
44,"Yes, you will have to submit your resume along with your application. Be sure to go through the application checklist before your submission. ",https://www.scu.edu/business/ms-business-analytics/prospective-students-faq/
45,"The application deadlines are the same for both domestic and international students.
For Scholarship Consideration is for FALL is  APR 01, 2019  and Final Deadline MAY 01, 2019     
and for WINTER it is OCT 15, 2019 and SPRING it is JAN 15, 2020. Good luck for your admission.",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
46,"Students are admitted to the MSBA program for the FALL quarter only. 
The application deadlines are as follows:
April 1- Scholarship Consideration for both international & domestic students
May 1 - Final Deadline without scholarship consideration",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
47,"The application deadlines are the same for both domestic and international students.
For Scholarship Consideration is for FALL is  APR 01, 2019  and Final Deadline MAY 01, 2019     
and for WINTER it is OCT 15, 2019         
and SPRING      it is  JAN 15, 2020",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
48,"You must hold an undergraduate degree from a regionally accredited U.S. institution or an equivalent four-year bachelor's degree as determined by WES.org and with the following prerequisites:
 Statistics - Content should include topics in statistics, including descriptive statistics, regression, probability, random variables and distributions, the central limit theorem, confidence intervals and hypothesis testing for 1 & 2 populations, goodness of fit, and contingency tables.
 Calculus 1 - Content should include differential and integral calculus, key concepts of limit, derivative and continuity, derivatives in graphing and optimizing functions, and fundamental theorem of calculus.
 Calculus 2 - Content should include techniques and applications of integration, infinite sequences and series, first ;and second-order ordinary differential equations, exact equations, oscillation and damping, and series solutions of ordinary differential equations.",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
49,"Prerequisites must be taken at an accredited university. Applicants may take the prerequisites through a University of California Extension, though a comparable university or community college is accepted, if accredited.Courses from Coursera, Udacity, edX, or the like, are not accepted.",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
50,MSBA program can be completed by Five quarters full-time or two years part-time.,https://www.scu.edu/business/ms-business-analytics/
51,"Yes, we offer Part time courses for MSBA and it takes 2 years to complete the degree",https://www.scu.edu/business/ms-business-analytics/
52,MSBA program can be completed by Five quarters full-time or two years part-time.,https://www.scu.edu/business/ms-business-analytics/
53,"MSBA classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-business-analytics/
54,"To complete the program, you must complete at least 48 units, spread over 36 units of required (core) units as well as a minimum of 12 units of elective credits.",https://www.scu.edu/business/ms-business-analytics/curriculum/
55,"Yes,SCU gives students the choice to select elective according to their interests, needs and schedule. Custom class schedule helps students to choose classes as per their wish!",https://www.scu.edu/business/ms-business-analytics/curriculum/
56,"Yes, you will have to submit your resume along with your application. Be sure to go through the application checklist before your submission. ",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
57,The MSBA Program does not offer GMAT or GRE waivers. All applicants are required to take either the GMAT or GRE regardless of the number of years of work experience.,https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
58,"We do not prefer one exam over the other. While the  GMAT  (Graduate Management Admissions Test) has been the standard exam used for business schools, the  GRE (Graduate Record Exam) is also accepted. We do not prefer one exam over the other.",https://www.scu.edu/business/ms-degrees/faqs/
59,"MSBA's cost is $1,265 / unit (2019-20 tuition) and 48 units minimum are required to be completed, The University Financial Aid Office can help in locating and applying for these types of aid. You may visit the staff in Patricia A. and Stephen C. Schott Admission and Enrollment Services Building; call (408) 551-1000, or email onestop@scu.edu. 

Federal financial aid is not available for non-US citizens, except in cases where they have attained Permanent Resident status and have made application for citizenship. International students are eligible for scholarships. ",https://www.scu.edu/business/ms-business-analytics/prospective-students-information/
60,"MBA Curriculum consists of 70 units across 14 core courses (42 units), one required elective (2 units) and 26 additional units of free electives.",https://www.scu.edu/business/evening-mba/curriculum/
61,"MBA classes generally meet twice per week (either Mondays & Wednesdays, or Tuesdays & Thursdays) for ten weeks for 95 minutes per session (5:45 - 7:20pm and 7:35 - 9:10pm), during each quarter (fall, winter, spring and summer)",https://www.scu.edu/business/evening-mba/curriculum/
62,"Our Executive MBA is 20-month cohort-based program, designed specifically for experienced professionals, creates innovative leaders who will impact Silicon Valleys future",https://www.scu.edu/business/evening-mba/curriculum/
63,"According to US News and World Report rankings, we are 1st among all Jesuit Schools and 13th in the 2020 U.S. News & World Report Best Graduate Schools
",https://www.scu.edu/business/evening-mba/curriculum/
64,"Please find the detailed information on deadline in the link.
",https://onlinemba.scu.edu/admissions/application-deadlines
65," Our online MBA program's current cost is $1,108 per unit, which is subject to change annually.",#N/A
66,"Our MBA deadlines are as follows:
Fall Quarter:  
for Scholarship Consideration - April 1 
Final Deadline - June 1 
Spring Quarter: 
January 20",https://www.scu.edu/business/evening-mba/prospective-students/
67,"Most of our Graduate Business classes are held in Lucas Hall, home of the Leavey School of Business on the Santa Clara University campus. Some classes may be held in other buildings on campus.",https://www.scu.edu/business/evening-mba/prospective-students/
68,"Our Evening MBA class profile looks as follows:
Women : 42% 

Average age : 31

Student body born outside the U.S. : 26%

Average undergraduate GPA:  3.4

holding an additional graduate degree:  30%

Average GMAT:  610

Average GRE:  313

Average work experience at program entry : 8 years
employed at time of admission : 90%

Employers at time of admission : Adobe, Amazon, Apple, Cisco, Facebook, GAP, Google, Kaiser Permanente, LinkedIn, Salesforce",https://www.scu.edu/business/evening-mba/prospective-students/
69,"Sure! Our undergraduate business program at Santa Clara University’s Leavey School of Business has been ranked among the best in California and the nation by Poets&Quants for Undergrads, “Best Undergraduate Business Schools” exclusive ranking. We are honored to introduce you to our Best and Brightest for 2019.
",https://www.scu.edu/business/undergraduates/
70,Our undergraduate business program is ranked No. 2 in California Meet our Best & Brightest,https://www.scu.edu/business/undergraduates/
71,"SCU students should apply after their junior year winter quarter grades post. The Graduate Programs Office is looking to see how the students performed their winter quarter, and this should align with the May 1st application deadline. This year, Juniors with GPA 3.3 + can apply to the program, to start in the fall of their senior year. Depending on the program they choose and their undergraduate major, the Graduate Programs Office will customize the students’ graduate core classes they will have to take.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
72,"This year, Juniors with GPA 3.3 + can apply to the program, to start in the fall of their senior year. The Graduate Programs Office is looking to see how the students performed their winter quarter, and this should align with the May 1st application deadline. Depending on the program they choose and their undergraduate major, the Graduate Programs Office will customize the students’ graduate core classes they will have to take.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
73,"The proceedure is simple.SCU students should apply after their junior year winter quarter grades post. The Graduate Programs Office is looking to see how the students performed their winter quarter, 
and this should align with the May 1st application deadline. This year, Juniors with GPA 3.3 + can apply to the program, to start in the fall of their senior year. 
Depending on the program they choose and their undergraduate major, the Graduate Programs Office will customize the students’ graduate core classes they will have to take.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
74,GRE/GMAT is not required if going through the early admission to this program and meet the requirements.,https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
75,"No, There will not be any Saturday or weekend classes.
Usually during the senior year, students would take their regular undergraduate load and would take the graduate courses in the evening,between 4pm to 7pm, most likely 5:45 PM time slot.  ",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
76,"In the senior year, students will start taking 4-6 units per quarter, one 4 unit class and in some quarters, an option to also take a 2-unit class.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
77,"Yes! In the senior year students will start taking 4-6 units per quarter, one 4 unit class and in some quarters, an option to also take a 2-unit class.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
78,"Usually during the senior year, students would take their regular undergraduate load and would take the graduate courses in the evening,between 4pm to 7pm, most likely 5:45 PM time slot.  ",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
79,"There are very different core courses for each program. For MS in Business Analytics (MSBA) general core will include general business, math and programming. The MS Financial Analytics (MSFA) core will include several levels of finance courses and electives, and for MS Information Systems MSIS the general core would consist of courses like object-oriented programming and networking.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
80,"For MSBA general core will include general business, math and programming.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
81,The MSFA core will include several levels of finance courses and electives,https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
82,MSIS the general core would consist of courses like object-oriented programming and networking.,https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
83,"There are very different core courses for each program. For MS in Business Analytics (MSBA) general core will include general business, math and programming. The MS Financial Analytics (MSFA) core will include several levels of finance courses and electives, and for MS Information Systems MSIS the general core would consist of courses like object-oriented programming and networking.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
84,"It depends on what a student plans to do after graduation. If a student has not had access to business school courses, then the 4 +1 program will provide the student the opportunity to take these classes before they go into the real world, especially if they realize that business is their calling. Additionally, 4+1 is a very compelling offer, as the students are taking classes earlier and finishing sooner than otherwise.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
85,"The graduate programs offer them an opportunity to go into any aspect of the business.   Business Analytics and Human Resources are very popular fields. Information Systems people are in high demand in consulting firms, accounting firms and in regular technology companies.  ",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
86,To be decided,https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
87,"The undergraduate students are not eligible for scholarships their senior year. Graduate Programs can not give scholarships to undergraduate students, so undergraduate seniors would not be qualified for scholarships. The following year, when they are full time graduate students, they can be considered for scholarship if they did extremely well academically in the graduate courses taken thus far.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
88,"The next step is to attend the first information session on Wednesday, February 20th from 11:30am to 1pm in Lucas Hall 106 or stop by the Benson Center during our tabling event. 
Make an appointment for a preliminary interview with the Graduate Programs Office.  The interview is important to understand the student’s strength and weakness before applying for 4 +1.   Email msadmissions@scu.edu to request an appointment.",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
89,"Application deadline is May 1, 2019. After submission of application,
 Interview will be conducted with a faculty director or a graduate school admission officer.  
 acceptance decision will be made within 3 weeks after the interview",https://www.scu.edu/business/undergraduates/news/2018-19/new-4-1-masters-program-offered-to-scu-undergraduates-starting-fall-2019.html
90,"Some of the options are Accounting, Accounting and Information systems, economics, finance, individual study, management, marketing, management information systems.  ",https://www.scu.edu/business/undergraduates/academics/majors-and-minors/
91,"he SCU accounting program is an eminent provider of accounting professionals and leaders in the Silicon Valley. 
LinkedIn ranks our program as #8 in the nation, based on the success of our graduates, while U.S. News and World Report ranks our program as #19, 
based on a national survey of college officials. We are the sole AACSB-accredited accounting program in Northern California.

",https://www.scu.edu/business/accounting/
92,"LinkedIn ranks our program as #8 in the nation, based on the success of our graduates",https://www.scu.edu/business/accounting/
93,"U.S. News and World Report ranks our program as #19, based on a national survey of college officials",https://www.scu.edu/business/accounting/
94,We are the sole AACSB-accredited accounting program in Northern California,https://www.scu.edu/business/accounting/
95,"Our undergraduate program offers two majors: Accounting and Accounting & Information Systems (A&IS). 
Our renowned Certificate of Advanced Accounting Proficiency (CAAP) program offers an opportunity for college graduates pursuing CPA certification to obtain the accounting 
units required for CPA licensure. 

",https://www.scu.edu/business/accounting/
96,"Our undergraduate program offers two majors: Accounting and Accounting & Information Systems (A&IS). 
Students in both majors are eligible for merit-based accounting scholarships in their sophomore and junior years. 
",https://www.scu.edu/business/accounting/
97,"Our students are highly sought after by national and regional accounting firms. Most of our students participate in internships and externships, 
and then accept full-time job offers before the beginning of their senior years.",https://www.scu.edu/business/accounting/
98,"Our renowned Certificate of Advanced Accounting Proficiency (CAAP) program offers an opportunity for college graduates pursuing CPA certification to obtain the accounting 
units required for CPA licensure. ",https://www.scu.edu/business/accounting/
99,"All students wishing to major in accounting or accounting and information systems must complete both the University core curriculum requirements 
and the Leavey School of Business core requirements, which include ACTG 11 and ACTG 12.
We recommend that these two classes are completed by the end of sophomore year.
In addition, students majoring in accounting or A&IS must complete the following departmental requirements available in the link, respectively
",https://www.scu.edu/business/accounting/academics/
100,"Economics is the study of how societies organize production,distribution, and the exchange of goods and services and 
about choices on how scarce resources are allocated to satisfy human wants. Who wins? Who loses? Why? 
Economists use models that are substantiated by statistical analysis to study important issues such as economic growth, unemployment, productivity and efficiency, 
poverty and inequality, international trade, and the effects of government policy. 
",https://www.scu.edu/business/economics/
101,"The Economics Department offers two undergraduate degrees, one through the College of Arts & Sciences, and the other through the Leavey School of Business. 
Students have the option to choose a concentration in data analysis or mathematical economics. The department also provides foundational courses for the graduate programs. 
Our faculty produce rigorous state-of-the-art research. Students  often serve as research assistants to faculty, gaining hands-on exposure to modern research questions and methods, 
and occasional opportunities for co-authorship.
",https://www.scu.edu/business/economics/
102,"Yes! Students  can serve as research assistants to faculty, gaining hands-on exposure to modern research questions and methods, and occasional opportunities for co-authorship.",https://www.scu.edu/business/economics/
103,"We offer bachelor's and master's degrees as well as an emphasis program for MBA students. If you want to apply the skills you learn in an internship, 
you can take advantage of our extensive network in and around the Valley.
Finance opens all kinds of doors. Our graduates wind up as analysts with banks, VC firms, and tech companies. 
They also go into consulting, management, and accounting.",https://www.scu.edu/business/economics/
104,"A student majoring in Individual Studies in the Business School must be enrolled in the Leavey School of Business. In addition to fulfilling the University Undergraduate Core Curriculum and the core requirements for the bachelor of science in commerce (BSC) in the School of Business, the student must complete the requirements in her or his approved plan of study.
 
 To declare the IS major, the student must submit and obtain approval of a Petition for an Individual Studies major in the Leavey School.",https://www.scu.edu/business/undergraduates/individual-studies-major/
105,"Requirements for the petition and approval
 At the time of application, the student must: 
 
 have been a full-time student at Santa Clara for at least one year, and
 have a minimum 3.0 overall grade point average",https://www.scu.edu/business/undergraduates/individual-studies-major/
106,A student must maintain minimum 3.0 overall grade point average to pursue individual studies major,https://www.scu.edu/business/undergraduates/individual-studies-major/
107,"Yes! the student has to be a full-time student at Santa Clara for at least one year, and also have a minimum 3.0 overall grade point average",https://www.scu.edu/business/undergraduates/individual-studies-major/
108,"As the largest department in the business school, we offer core courses for all undergraduate business majors, MBA, and master’s programs. From learning to manage individual human resource issues to designing the organizational structure of a global company, the breadth of our program allows you to lead at any level. 
 
 Our undergraduate management majors take a rigorous foundation of courses to foster innovative ideas and efficiently work in a variety of organizational structures. We emphasize management as a deliberate practice wherein graduates are theoretically informed, technically skilled, and imbued with a sense of responsibility and care for all stakeholders and the public good. And there is no better place than Silicon Valley to learn about Entrepreneurship and Leading Innovative Organizations through our MBA concentrations.",https://www.scu.edu/business/management/
109,"Our undergraduate management majors take a rigorous foundation of courses to foster innovative ideas and efficiently work in a variety of organizational structures. We emphasize management as a deliberate practice wherein graduates are theoretically informed, technically skilled, and imbued with a sense of responsibility and care for all stakeholders and the public good. And there is no better place than Silicon Valley to learn about Entrepreneurship and Leading Innovative Organizations through our MBA concentrations.",https://www.scu.edu/business/management/
110,"As the largest department in the business school, we offer core courses for all undergraduate business majors, MBA, and master’s programs. From learning to manage individual human resource issues to designing the organizational structure of a global company, the breadth of our program allows you to lead at any level. 
 
 Our undergraduate management majors take a rigorous foundation of courses to foster innovative ideas and efficiently work in a variety of organizational structures. We emphasize management as a deliberate practice wherein graduates are theoretically informed, technically skilled, and imbued with a sense of responsibility and care for all stakeholders and the public good. And there is no better place than Silicon Valley to learn about Entrepreneurship and Leading Innovative Organizations through our MBA concentrations.",https://www.scu.edu/business/management/
111,"Marketing is a crucial part of any business, and it’s about more than just promoting products. Drawing from economics, psychology, sociology, and finance, it entails understanding the competition, connecting with customers, and building brand recognition.
 
 We stay at the top of our field with a faculty equally steeped in research and professional experience. They’ll teach you the latest in web and mobile marketing as well as quantitative methods for gathering precise, useful data. You’ll have the chance to work on real-world projects for companies while learning to apply ethical business practices.
 
 To develop experience beyond the classroom we promote internships at a large companies like Google and Facebook as well as local startups, and support study abroad opportunities by accepting credits from over 70 programs.",https://www.scu.edu/business/marketing/
112,"Yes! To develop experience beyond the classroom we promote internships at a large companies like Google and Facebook as well as local startups, and support study abroad opportunities by accepting credits from over 70 programs.",https://www.scu.edu/business/marketing/
113,"As an undergraduate major in Management Information Systems or Accounting & Information Systems, you’ll have the chance to design applications in the lab and then put your learning to practice through credit bearing internships. Our Master’s in Information Systems students all complete a capstone project, which involves creating and implementing software for a local company.
 
 We’ve been there—members of our faculty have founded companies and worked in both engineering and management. And they are pushing the field forward with research in business intelligence, software engineering, computer security, business analytics, and supply chain management.
 
 No other school teaches information systems and analytics like we do. You’ll be at the forefront of the discipline and have fantastic job prospects when you graduate.",https://www.scu.edu/business/isa/
114," We’ve been there—members of our faculty have founded companies and worked in both engineering and management. And they are pushing the field forward with research in business intelligence, software engineering, computer security, business analytics, and supply chain management.
 
 No other school teaches information systems and analytics like we do. You’ll be at the forefront of the discipline and have fantastic job prospects when you graduate.",https://www.scu.edu/business/isa/
115,"To qualify for the degree of bachelor of science in commerce, students must complete a minimum of 175 quarter-units of credit (of which at least 60 must be in upper-division courses) and satisfy the requirements of the Undergraduate Core Curriculum, the Leavey School of Business curriculum, and the departmental major.",https://www.scu.edu/business/undergraduates/academics/lsb-core-curriculum/
116,"Yes! Your education includes learning about your role in the larger community, whether it's being an active participant in the many student organizations across campus, or finding a place in the neighborhoods outside the campus boundaries.",https://www.scu.edu/business/undergraduates/community/
117,"There are various awards awarded to extrodinary students. The mission of Beta Gamma Sigma is to encourage and honor academic achievement in the study of business and personal and professional excellence. Membership is offered to students who show promise of success in the field of business and rank in the top seven percent of their junior class or in the top 10 percent of their senior class.
 
  
 Leavey Scholars
 Business sophomores who have maintained a cumulative SCU GPA in the top 10 to 15% of their class through the end of the spring quarter of their first year (usually a minimum of GPA of 3.7 or better) are invited to become Leavey Scholars.",https://www.scu.edu/business/undergraduates/community/honors-and-awards/
118,"1. Beta Gamma Sigma is to encourage and honor academic achievement in the study of business and personal and professional excellence. Membership is offered to students who show promise of success in the field of business and rank in the top seven percent of their junior class or in the top 10 percent of their senior class.
 
  
 2. Leavey Scholars
 Business sophomores who have maintained a cumulative SCU GPA in the top 10 to 15% of their class through the end of the spring quarter of their first year (usually a minimum of GPA of 3.7 or better) are invited to become Leavey Scholars.",https://www.scu.edu/business/undergraduates/community/honors-and-awards/
119, Business sophomores who have maintained a cumulative SCU GPA in the top 10 to 15% of their class through the end of the spring quarter of their first year (usually a minimum of GPA of 3.7 or better) are invited to become Leavey Scholars.,https://www.scu.edu/business/undergraduates/community/honors-and-awards/
120,"The Beta Gamma Sigma membership is offered to students who show promise of success in the field of business and rank in the top seven percent of their junior class or in the top 10 percent of their senior class.
 ",https://www.scu.edu/business/undergraduates/community/honors-and-awards/
121,"Yes! The mission of Beta Gamma Sigma is to encourage and honor academic achievement in the study of business and personal and professional excellence. Membership is offered to students who show promise of success in the field of business and rank in the top seven percent of their junior class or in the top 10 percent of their senior class.
 ",https://www.scu.edu/business/undergraduates/community/honors-and-awards/
122,"Leavey Scholars enjoy benefits such as:
 
 Special 'honors' sections offered only to similiarly motivated students
 Early registration
 Upon completion of the program, the desgination ""Leavey Scholar"" on the transcript",https://www.scu.edu/business/undergraduates/community/honors-and-awards/
123,"As a part of Santa Clara University's larger Thriving Neighbors Initiative, the Neighborhood Prosperity Initiative connects you and the knowledge you gain in the classroom with a community in need.
 
 The Neighborhood Prosperity Initiative has two goals for you:
 
 Hands on, community-based learning
 Collaboration with community partners",https://www.scu.edu/business/undergraduates/community/npi/
